timestamp,tx,ty,tz,rx,ry,rz
1490991758996349709,26.081,-37.835,1.465,0.0,0.0,0.0
1490991759096252928,26.083,-37.832,1.462,0.0,0.0,0.0
1490991759196175054,26.081,-37.835,1.462,0.0,0.0,0.0
1490991759296926742,26.078,-37.839,1.463,0.0,0.0,0.0
1490991759395860706,26.076,-37.842,1.465,0.0,0.0,0.0
1490991759493754236,26.075,-37.842,1.465,0.0,0.0,0.0
1490991759619583556,26.074,-37.843,1.466,0.0,0.0,0.0
1490991759695558428,26.076,-37.843,1.457,0.0,0.0,0.0
1490991759795462195,26.072,-37.847,1.455,0.0,0.0,0.0
1490991759895818212,26.062,-37.857,1.453,0.0,0.0,0.0
1490991759996191484,26.044,-37.88,1.452,0.0,0.0,0.0
1490991760096116419,26.015,-37.912,1.452,0.0,0.0,0.0
1490991760195979533,25.975,-37.959,1.456,0.0,0.0,0.0
1490991760296949720,25.92,-38.021,1.456,0.0,0.0,0.0
1490991760395751519,25.851,-38.101,1.46,0.0,0.0,0.0
1490991760495615101,25.768,-38.198,1.464,0.0,0.0,0.0
1490991760621525892,25.673,-38.316,1.468,0.0,0.0,0.0
1490991760696374007,25.56,-38.455,1.467,0.0,0.0,0.0
1490991760797281922,25.434,-38.613,1.475,0.0,0.0,0.0
1490991760910230858,25.291,-38.791,1.483,0.0,0.0,0.0
1490991760994039983,25.132,-38.989,1.49,0.0,0.0,0.0
1490991761096902993,24.959,-39.205,1.497,0.0,0.0,0.0
1490991761196826253,24.769,-39.44,1.505,0.0,0.0,0.0
1490991761297754040,24.567,-39.693,1.514,0.0,0.0,0.0
1490991761396569312,24.355,-39.965,1.527,0.0,0.0,0.0
1490991761496465924,24.133,-40.255,1.536,0.0,0.0,0.0
1490991761622303729,23.897,-40.561,1.548,0.0,0.0,0.0
1490991761696265845,23.652,-40.884,1.56,0.0,0.0,0.0
1490991761796164099,23.402,-41.222,1.574,0.0,0.0,0.0
1490991761895979626,23.142,-41.575,1.585,0.0,0.0,0.0
1490991761996892590,22.876,-41.938,1.597,0.0,0.0,0.0
1490991762096738737,22.601,-42.312,1.607,0.0,0.0,0.0
1490991762193691409,22.319,-42.696,1.622,0.0,0.0,0.0
1490991762297573408,22.028,-43.091,1.632,0.0,0.0,0.0
1490991762396408804,21.728,-43.494,1.643,0.0,0.0,0.0
1490991762496299774,21.424,-43.906,1.656,0.0,0.0,0.0
1490991762622181460,21.119,-44.329,1.665,0.0,0.0,0.0
1490991762696073378,20.807,-44.765,1.67,0.0,0.0,0.0
1490991762796019335,20.487,-45.204,1.682,0.0,0.0,0.0
1490991762907931241,20.157,-45.646,1.693,0.0,0.0,0.0
1490991762996771907,19.818,-46.096,1.706,0.0,0.0,0.0
1490991763096637772,19.474,-46.559,1.721,0.0,0.0,0.0
1490991763196529596,19.13,-47.03,1.73,0.0,0.0,0.0
1490991763297419739,18.778,-47.51,1.746,0.0,0.0,0.0
1490991763396240092,18.419,-47.995,1.759,0.0,0.0,0.0
