timestamp,tx,ty,tz,rx,ry,rz
1490991888330465250,75.54,29.872,-0.208,0.0,0.0,0.0
1490991888456300307,75.539,29.871,-0.209,0.0,0.0,0.0
1490991888530769212,75.538,29.868,-0.215,0.0,0.0,0.0
1490991888631500504,75.532,29.861,-0.212,0.0,0.0,0.0
1490991888731320113,75.524,29.849,-0.211,0.0,0.0,0.0
1490991888831340703,75.513,29.835,-0.212,0.0,0.0,0.0
1490991888932147742,75.498,29.815,-0.21,0.0,0.0,0.0
1490991889031935404,75.474,29.783,-0.206,0.0,0.0,0.0
1490991889131783927,75.435,29.729,-0.203,0.0,0.0,0.0
1490991889230742508,75.376,29.648,-0.197,0.0,0.0,0.0
1490991889330594310,75.299,29.541,-0.186,0.0,0.0,0.0
1490991889457958606,75.207,29.412,-0.176,0.0,0.0,0.0
1490991889531822310,75.106,29.261,-0.173,0.0,0.0,0.0
1490991889632076947,74.995,29.099,-0.165,0.0,0.0,0.0
1490991889762925383,74.875,28.921,-0.154,0.0,0.0,0.0
1490991889831764432,74.745,28.733,-0.141,0.0,0.0,0.0
1490991889932602777,74.603,28.532,-0.131,0.0,0.0,0.0
1490991890032441476,74.449,28.32,-0.118,0.0,0.0,0.0
1490991890132433404,74.284,28.099,-0.108,0.0,0.0,0.0
1490991890231344703,74.11,27.863,-0.092,0.0,0.0,0.0
1490991890331060519,73.933,27.614,-0.075,0.0,0.0,0.0
1490991890457887945,73.751,27.362,-0.064,0.0,0.0,0.0
1490991890531834310,73.562,27.097,-0.058,0.0,0.0,0.0
1490991890631735561,73.369,26.824,-0.045,0.0,0.0,0.0
1490991890731630869,73.172,26.539,-0.028,0.0,0.0,0.0
1490991890832409405,72.968,26.249,-0.008,0.0,0.0,0.0
1490991890932247721,72.753,25.957,0.008,0.0,0.0,0.0
1490991891033125919,72.528,25.662,0.019,0.0,0.0,0.0
1490991891131957907,72.296,25.363,0.029,0.0,0.0,0.0
1490991891231689269,72.06,25.056,0.042,0.0,0.0,0.0
1490991891331190062,71.831,24.732,0.06,0.0,0.0,0.0
1490991891457358965,71.602,24.395,0.077,0.0,0.0,0.0
1490991891531788732,71.373,24.043,0.088,0.0,0.0,0.0
1490991891632102176,71.129,23.685,0.102,0.0,0.0,0.0
1490991891762009770,70.869,23.335,0.114,0.0,0.0,0.0
1490991891831843314,70.592,22.987,0.124,0.0,0.0,0.0
1490991891931246643,70.312,22.632,0.139,0.0,0.0,0.0
1490991892033649445,70.044,22.26,0.154,0.0,0.0,0.0
1490991892131514030,69.779,21.876,0.172,0.0,0.0,0.0
1490991892231171050,69.515,21.487,0.184,0.0,0.0,0.0
1490991892331031466,69.242,21.096,0.198,0.0,0.0,0.0
1490991892457984902,68.959,20.705,0.21,0.0,0.0,0.0
1490991892531396277,68.665,20.313,0.214,0.0,0.0,0.0
1490991892632087968,68.373,19.918,0.224,0.0,0.0,0.0
1490991892732488525,68.084,19.521,0.231,0.0,0.0,0.0
1490991892831947964,67.798,19.125,0.244,0.0,0.0,0.0
1490991892933192059,67.51,18.721,0.256,0.0,0.0,0.0
1490991893033008407,67.221,18.308,0.266,0.0,0.0,0.0
1490991893131996227,66.927,17.897,0.272,0.0,0.0,0.0
1490991893231787760,66.629,17.479,0.279,0.0,0.0,0.0
1490991893332667412,66.33,17.052,0.288,0.0,0.0,0.0
1490991893458369085,66.031,16.626,0.302,0.0,0.0,0.0
1490991893532282375,65.734,16.203,0.31,0.0,0.0,0.0
1490991893632173646,65.43,15.786,0.319,0.0,0.0,0.0
1490991893763878295,65.124,15.366,0.328,0.0,0.0,0.0
1490991893832703929,64.828,14.94,0.332,0.0,0.0,0.0
1490991893932665987,64.531,14.504,0.337,0.0,0.0,0.0
1490991894033418956,64.222,14.068,0.351,0.0,0.0,0.0
1490991894133170303,63.9,13.636,0.363,0.0,0.0,0.0
1490991894231750947,63.574,13.208,0.375,0.0,0.0,0.0
1490991894331784389,63.253,12.777,0.385,0.0,0.0,0.0
1490991894457736436,62.94,12.337,0.397,0.0,0.0,0.0
1490991894531665664,62.627,11.894,0.407,0.0,0.0,0.0
1490991894632506267,62.316,11.442,0.414,0.0,0.0,0.0
1490991894732364383,62.001,10.993,0.421,0.0,0.0,0.0
1490991894832224546,61.674,10.545,0.434,0.0,0.0,0.0
1490991894933145472,61.342,10.098,0.448,0.0,0.0,0.0
1490991895033024375,61.01,9.648,0.463,0.0,0.0,0.0
1490991895131951093,60.69,9.192,0.47,0.0,0.0,0.0
1490991895230666614,60.373,8.724,0.482,0.0,0.0,0.0
1490991895330542359,60.049,8.257,0.492,0.0,0.0,0.0
1490991895457278192,59.714,7.792,0.498,0.0,0.0,0.0
1490991895531180800,59.373,7.326,0.496,0.0,0.0,0.0
1490991895631140740,59.034,6.858,0.508,0.0,0.0,0.0
1490991895765031927,58.702,6.389,0.516,0.0,0.0,0.0
1490991895830870174,58.365,5.93,0.519,0.0,0.0,0.0
1490991895931844900,58.032,5.481,0.526,0.0,0.0,0.0
1490991896031659073,57.697,5.036,0.534,0.0,0.0,0.0
1490991896131414204,57.366,4.579,0.542,0.0,0.0,0.0
1490991896230383911,57.031,4.117,0.549,0.0,0.0,0.0
1490991896331082743,56.682,3.658,0.556,0.0,0.0,0.0
1490991896456929777,56.329,3.198,0.566,0.0,0.0,0.0
1490991896530849016,55.984,2.735,0.573,0.0,0.0,0.0
