index,timestamp,lat,long,alt
2017-03-31 21:12:49.592064738,1490994769592064738,37.4270825159,-122.075181582,-34.1856883641
2017-03-31 21:12:49.631291012,1490994769631291012,37.4270825159,-122.075181582,-34.1856883641
2017-03-31 21:12:49.672957428,1490994769672957428,37.4270824875,-122.075181622,-34.1863569339
2017-03-31 21:12:49.714583459,1490994769714583459,37.4270824569,-122.075181665,-34.1870787563
2017-03-31 21:12:49.756308142,1490994769756308142,37.4270824263,-122.075181709,-34.1878022878
2017-03-31 21:12:49.800377703,1490994769800377703,37.4270823939,-122.075181755,-34.188566478
2017-03-31 21:12:49.839646627,1490994769839646627,37.427082365,-122.075181796,-34.1892474287
2017-03-31 21:12:49.881300727,1490994769881300727,37.4270823344,-122.075181839,-34.189969735
2017-03-31 21:12:49.922908762,1490994769922908762,37.4270823038,-122.075181883,-34.1906912423
2017-03-31 21:12:49.964606863,1490994769964606863,37.4270822731,-122.075181926,-34.1914143166
2017-03-31 21:12:50.008679417,1490994770008679417,37.4270822407,-122.075181972,-34.19217856
2017-03-31 21:12:50.047981692,1490994770047981692,37.4270822118,-122.075182013,-34.1928600834
2017-03-31 21:12:50.089794793,1490994770089794793,37.4270821811,-122.075182057,-34.1935851509
2017-03-31 21:12:50.131279281,1490994770131279281,37.4270821506,-122.0751821,-34.1943045184
2017-03-31 21:12:50.173044775,1490994770173044775,37.4270821199,-122.075182144,-34.1950287558
2017-03-31 21:12:50.217031490,1490994770217031490,37.4270820876,-122.07518219,-34.195791512
2017-03-31 21:12:50.256329223,1490994770256329223,37.4270820587,-122.075182231,-34.19647296
2017-03-31 21:12:50.297959224,1490994770297959224,37.4270820281,-122.075182274,-34.197194849
2017-03-31 21:12:50.339599922,1490994770339599922,37.4270819974,-122.075182318,-34.1979169245
2017-03-31 21:12:50.381243515,1490994770381243515,37.4270819668,-122.075182361,-34.1986390488
2017-03-31 21:12:50.425374822,1490994770425374822,37.4270819091,-122.07518244,-34.1994176346
2017-03-31 21:12:50.464587189,1490994770464587189,37.4270817532,-122.075182648,-34.2001646179
2017-03-31 21:12:50.506257387,1490994770506257387,37.4270815874,-122.075182868,-34.2009584175
2017-03-31 21:12:50.547911127,1490994770547911127,37.4270814218,-122.075183089,-34.2017519049
2017-03-31 21:12:50.589712508,1490994770589712508,37.4270812555,-122.07518331,-34.2025482014
2017-03-31 21:12:50.633776405,1490994770633776405,37.4270810803,-122.075183543,-34.2033876029
2017-03-31 21:12:50.672969440,1490994770672969440,37.4270805612,-122.075184184,-34.2015524084
2017-03-31 21:12:50.714604050,1490994770714604050,37.4270800039,-122.075184872,-34.1995611545
2017-03-31 21:12:50.756343036,1490994770756343036,37.4270794452,-122.075185561,-34.1975649051
2017-03-31 21:12:50.797958348,1490994770797958348,37.4270788882,-122.075186248,-34.1955745694
2017-03-31 21:12:50.842214298,1490994770842214298,37.4270782959,-122.075186979,-34.1934579399
2017-03-31 21:12:50.881392561,1490994770881392561,37.4270777715,-122.075187626,-34.1915841642
2017-03-31 21:12:50.922913247,1490994770922913247,37.4270772157,-122.075188312,-34.1895983587
2017-03-31 21:12:50.964570320,1490994770964570320,37.4270766581,-122.075189,-34.1876060273
2017-03-31 21:12:51.006257625,1490994771006257625,37.4270761002,-122.075189688,-34.1856122511
2017-03-31 21:12:51.050370034,1490994771050370034,37.4270755097,-122.075190417,-34.1835024904
2017-03-31 21:12:51.089694383,1490994771089694383,37.4270749834,-122.075191066,-34.1816217236
2017-03-31 21:12:51.131286437,1490994771131286437,37.4270744266,-122.075191753,-34.1796325021
2017-03-31 21:12:51.172971030,1490994771172971030,37.4270738687,-122.075192441,-34.1776388606
2017-03-31 21:12:51.214580931,1490994771214580931,37.4270733118,-122.075193129,-34.175648782
2017-03-31 21:12:51.258747038,1490994771258747038,37.4270727206,-122.075193858,-34.1735364501
2017-03-31 21:12:51.297972826,1490994771297972826,37.4270721956,-122.075194506,-34.1716604093
2017-03-31 21:12:51.339615918,1490994771339615918,37.4270716382,-122.075195193,-34.1696687391
