index,timestamp,lat,long,alt
2017-03-31 20:57:23.005657268,1490993843005657268,37.4268297408,-122.07596385,-32.8994943081
2017-03-31 20:57:23.047365255,1490993843047365255,37.4268310501,-122.075962659,-32.9008899616
2017-03-31 20:57:23.089008597,1490993843089008597,37.4268323572,-122.07596147,-32.9022834477
2017-03-31 20:57:23.130777374,1490993843130777374,37.426833759,-122.075960223,-32.9036524382
2017-03-31 20:57:23.172370397,1490993843172370397,37.4268352828,-122.075958904,-32.9049751796
2017-03-31 20:57:23.214038717,1490993843214038717,37.4268368094,-122.075957583,-32.9063003146
2017-03-31 20:57:23.255637142,1490993843255637142,37.4268383334,-122.075956264,-32.9076232269
2017-03-31 20:57:23.297329761,1490993843297329761,37.4268398608,-122.075954942,-32.9089491272
2017-03-31 20:57:23.338986862,1490993843338986862,37.4268412906,-122.07595375,-32.9104324967
2017-03-31 20:57:23.380721967,1490993843380721967,37.4268427131,-122.075952568,-32.9119348884
2017-03-31 20:57:23.422373648,1490993843422373648,37.4268441146,-122.07595143,-32.9131607152
2017-03-31 20:57:23.463987260,1490993843463987260,37.426845499,-122.075950327,-32.9141476254
2017-03-31 20:57:23.505715664,1490993843505715664,37.4268468504,-122.075949255,-32.915102103
2017-03-31 20:57:23.547321657,1490993843547321657,37.4268479389,-122.07594842,-32.9158063187
2017-03-31 20:57:23.589021019,1490993843589021019,37.4268490299,-122.075947583,-32.916512116
2017-03-31 20:57:23.630663051,1490993843630663051,37.4268501949,-122.075946692,-32.9177941851
2017-03-31 20:57:23.672308410,1490993843672308410,37.4268520118,-122.075945331,-32.9240544938
2017-03-31 20:57:23.713986258,1490993843713986258,37.4268536846,-122.075944102,-32.9291128045
2017-03-31 20:57:23.755655958,1490993843755655958,37.4268550442,-122.07594316,-32.9315765032
2017-03-31 20:57:23.797378694,1490993843797378694,37.4268564055,-122.075942217,-32.9340433502
2017-03-31 20:57:23.838954917,1490993843838954917,37.4268577663,-122.075941329,-32.9352716953
2017-03-31 20:57:23.880685429,1490993843880685429,37.4268591325,-122.075940441,-32.9363976376
2017-03-31 20:57:23.922322677,1490993843922322677,37.4268604936,-122.075939602,-32.9374685399
2017-03-31 20:57:23.964098795,1490993843964098795,37.4268618571,-122.075938803,-32.9384949995
2017-03-31 20:57:24.005700586,1490993844005700586,37.426863215,-122.075938007,-32.9395171756
2017-03-31 20:57:24.047420013,1490993844047420013,37.4268645767,-122.075937209,-32.9405422389
2017-03-31 20:57:24.089040795,1490993844089040795,37.4268659352,-122.075936413,-32.9415648867
2017-03-31 20:57:24.130632045,1490993844130632045,37.4268673103,-122.075935744,-32.9419818742
2017-03-31 20:57:24.172311470,1490993844172311470,37.426868695,-122.07593512,-32.9421735305
2017-03-31 20:57:24.214089857,1490993844214089857,37.4268700861,-122.075934533,-32.9428986072
2017-03-31 20:57:24.256087277,1490993844256087277,37.426871491,-122.075934018,-32.9447071954
2017-03-31 20:57:24.297517368,1490993844297517368,37.4268728769,-122.07593351,-32.9464913533
2017-03-31 20:57:24.339081511,1490993844339081511,37.4268742851,-122.075933037,-32.9482914744
2017-03-31 20:57:24.380685778,1490993844380685778,37.4268756965,-122.075932566,-32.9500943034
2017-03-31 20:57:24.422324475,1490993844422324475,37.4268770992,-122.075932174,-32.9536510681
2017-03-31 20:57:24.464063181,1490993844464063181,37.4268784967,-122.075931849,-32.9587417411
2017-03-31 20:57:24.505635650,1490993844505635650,37.4268798887,-122.075931526,-32.9638121191
2017-03-31 20:57:24.547359899,1490993844547359899,37.4268812858,-122.075931202,-32.9689010436
2017-03-31 20:57:24.589047054,1490993844589047054,37.4268826816,-122.075930878,-32.9739854095
2017-03-31 20:57:24.630656192,1490993844630656192,37.4268840748,-122.075930555,-32.9790602836
2017-03-31 20:57:24.672334223,1490993844672334223,37.4268854704,-122.075930231,-32.9841435568
2017-03-31 20:57:24.713998189,1490993844713998189,37.4268868607,-122.075929989,-32.9882187422
2017-03-31 20:57:24.755774217,1490993844755774217,37.4268882447,-122.075929923,-32.9901629994
2017-03-31 20:57:24.797386882,1490993844797386882,37.4268896233,-122.075929856,-32.9920996554
