timestamp,tx,ty,tz,rx,ry,rz
1490993843015562425,24.496,9.069,0.231,0.0,0.0,0.0
1490993843128496266,24.782,9.463,0.226,0.0,0.0,0.0
1490993843213264133,25.053,9.845,0.225,0.0,0.0,0.0
1490993843316191531,25.308,10.226,0.217,0.0,0.0,0.0
1490993843415103653,25.556,10.6,0.213,0.0,0.0,0.0
1490993843515538217,25.792,10.971,0.209,0.0,0.0,0.0
1490993843641364937,26.015,11.336,0.206,0.0,0.0,0.0
1490993843715755890,26.23,11.696,0.193,0.0,0.0,0.0
1490993843815690401,26.43,12.058,0.186,0.0,0.0,0.0
1490993843915533658,26.618,12.421,0.182,0.0,0.0,0.0
1490993844015493893,26.797,12.782,0.18,0.0,0.0,0.0
1490993844115341563,26.957,13.145,0.175,0.0,0.0,0.0
1490993844215229804,27.089,13.513,0.173,0.0,0.0,0.0
1490993844316112732,27.198,13.888,0.168,0.0,0.0,0.0
1490993844415037325,27.297,14.26,0.162,0.0,0.0,0.0
1490993844513844314,27.39,14.634,0.152,0.0,0.0,0.0
1490993844638763966,27.464,15.007,0.138,0.0,0.0,0.0
1490993844715658694,27.504,15.377,0.122,0.0,0.0,0.0
1490993844815623366,27.518,15.745,0.116,0.0,0.0,0.0
1490993844915458556,27.504,16.11,0.114,0.0,0.0,0.0
1490993845015336283,27.466,16.468,0.101,0.0,0.0,0.0
1490993845131303901,27.407,16.82,0.091,0.0,0.0,0.0
1490993845215094815,27.32,17.169,0.08,0.0,0.0,0.0
1490993845316008725,27.2,17.508,0.075,0.0,0.0,0.0
1490993845414828519,27.061,17.837,0.066,0.0,0.0,0.0
1490993845515177698,26.9,18.156,0.061,0.0,0.0,0.0
1490993845641118364,26.712,18.464,0.061,0.0,0.0,0.0
1490993845715502019,26.502,18.752,0.05,0.0,0.0,0.0
1490993845812842916,26.27,19.018,0.043,0.0,0.0,0.0
1490993845913230258,26.014,19.266,0.028,0.0,0.0,0.0
1490993846016089494,25.742,19.496,0.009,0.0,0.0,0.0
1490993846115035538,25.453,19.703,-0.015,0.0,0.0,0.0
1490993846214885080,25.153,19.893,-0.024,0.0,0.0,0.0
1490993846315796883,24.835,20.06,-0.028,0.0,0.0,0.0
1490993846414661662,24.504,20.205,-0.032,0.0,0.0,0.0
1490993846515526902,24.153,20.319,-0.032,0.0,0.0,0.0
1490993846641393067,23.79,20.414,-0.035,0.0,0.0,0.0
1490993846715324475,23.422,20.482,-0.058,0.0,0.0,0.0
1490993846815216545,23.039,20.515,-0.063,0.0,0.0,0.0
1490993846915140479,22.654,20.51,-0.068,0.0,0.0,0.0
1490993847016005936,22.271,20.468,-0.07,0.0,0.0,0.0
1490993847127927648,21.887,20.401,-0.062,0.0,0.0,0.0
1490993847212762704,21.507,20.305,-0.048,0.0,0.0,0.0
1490993847313660778,21.131,20.183,-0.051,0.0,0.0,0.0
1490993847415015656,20.768,20.037,-0.051,0.0,0.0,0.0
1490993847515373837,20.415,19.852,-0.054,0.0,0.0,0.0
1490993847641272651,20.074,19.637,-0.058,0.0,0.0,0.0
1490993847715185065,19.738,19.395,-0.067,0.0,0.0,0.0
1490993847815154099,19.413,19.12,-0.069,0.0,0.0,0.0
1490993847914047874,19.105,18.825,-0.071,0.0,0.0,0.0
1490993848014911554,18.809,18.508,-0.068,0.0,0.0,0.0
1490993848114656560,18.518,18.178,-0.063,0.0,0.0,0.0
1490993848214573474,18.23,17.841,-0.058,0.0,0.0,0.0
1490993848315446768,17.954,17.492,-0.058,0.0,0.0,0.0
1490993848414354412,17.7,17.119,-0.05,0.0,0.0,0.0
1490993848515226260,17.456,16.731,-0.052,0.0,0.0,0.0
1490993848639074114,17.225,16.324,-0.043,0.0,0.0,0.0
1490993848715031084,17.002,15.903,-0.052,0.0,0.0,0.0
1490993848814822311,16.782,15.477,-0.051,0.0,0.0,0.0
1490993848914728090,16.562,15.042,-0.047,0.0,0.0,0.0
1490993849014639462,16.343,14.597,-0.031,0.0,0.0,0.0
1490993849130580285,16.132,14.149,-0.013,0.0,0.0,0.0
1490993849214467051,15.933,13.685,-0.005,0.0,0.0,0.0
1490993849315304507,15.733,13.219,0.004,0.0,0.0,0.0
1490993849414771360,15.52,12.746,0.016,0.0,0.0,0.0
1490993849514129045,15.292,12.279,0.02,0.0,0.0,0.0
1490993849640073166,15.05,11.806,0.033,0.0,0.0,0.0
1490993849714929517,14.806,11.327,0.048,0.0,0.0,0.0
1490993849814820396,14.573,10.844,0.061,0.0,0.0,0.0
1490993849914714584,14.349,10.351,0.07,0.0,0.0,0.0
1490993850012649172,14.121,9.852,0.085,0.0,0.0,0.0
1490993850112523154,13.889,9.345,0.104,0.0,0.0,0.0
1490993850215365887,13.644,8.839,0.114,0.0,0.0,0.0
